on	zapnout
Cancel Check-Out...	Zrušit rezervaci...
Cancel Wizard	Zrušit průvodce
Unlink Frames	Zrušit propojení
Cancel Recording	Zrušit nahrávání
Remove Filter/Sort	Zrušit filtr/řazení
Cancel	Zrušit
Cancel	Zrušit
Static	Zrnění
Mirror on even pages	Zrcadlit na sudých stránkách
Mirror Object on Even Pages	Zrcadlit na sudých stránkách
Mirrored	Zrcadlit
Fontwork mirror	Zrcadlení písmomalby
Mirrored	Zrcadlené
Drag Mode	Způsob přetáhnutí
Accessibility	Zpřístupnění
E-Mails could not be sent	Zprávy elektronické pošty nelze odeslat
News	Zprávy
Report1	Zpráva1
Message:	Zpráva:
After text:	Zprava:
From bottom right	Zprava zespodu
From top right	Zprava seshora
Help Message...	Zpráva nápovědy...
Help Message	Zpráva nápovědy
From right to top	Zprava nahoru
E-Mail Message:	Zpráva elektronické pošty:
E-Mail Message	Zpráva elektronické pošty
E-mail message	Zpráva elektronické pošty
From right to bottom	Zprava dolů
Right-to-left (horizontal)	Zprava doleva (vodorovně)
Right-to-left (vertical)	Zprava doleva (svisle)
Right-to-left	Zprava doleva
Right to Left	Zprava doleva
Right-To-Left	Zprava doleva
Right-to-left	Zprava doleva
Right-To-Left	Zprava doleva
Report	Zpráva
Message	Zpráva
After text	Zprava
From right	Zprava
Processing metafile:	Zpracování metasouboru:
Processing	Zpracování
Decelerated end	Zpomalený konec
Reverse mapping	Zpětné mapování
Undo: Data Input	Zpět: Vstup dat
Undo: Data entry	Zpět: položka
Undo: 	Zpět: 
Undo:	Zpět:
Undo data entry	Zpět zadání dat
Return to Mail Merge Wizard	Zpět k průvodci hromadnou korespondencí
Undo %1	Zpět %1
Back	Zpět
Undo	Zpět
Back	Zpět
Undo 	Zpět
Undo	Zpět
Backspace	Zpět
Backwards	Zpět
Backwards	Zpět
Return address in envelope window	Zpáteční adresa v okénku obálky
Return address	Zpáteční adresa
Responsible party:	Zodpovědná skupina:
Responsible	Zodpovědná osoba
Display a footer for this group?	Zobrazovat zápatí této skupiny?
Display a header for this group?	Zobrazovat záhlaví této skupiny?
Display deleted records as well	Zobrazovat rovněž smazané záznamy
Display bullets	Zobrazovat odrážky
Display grid	Zobrazovat mřížku
Display Grid	Zobrazovat mřížku
Display drop caps	Zobrazovat iniciály
Display drop caps	Zobrazovat iniciály
Display	Zobrazovat
Display of	Zobrazovat
Display Name	Zobrazované jméno
Show/Hide Axis Description(s)	Zobrazit/skrýt popisy os
View...	Zobrazit...
Show...	Zobrazit...
View...	Zobrazit...
Show Report	Zobrazit zprávu
Show Changes...	Zobrazit změny...
Show changes?	Zobrazit změny?
Show changes in spreadsheet	Zobrazit změny v sešitu
Show Changes	Zobrazit změny
Display source	Zobrazit zdrojový kód
Display source	Zobrazit zdroj
Workspace	Zobrazit základ
Show Formula	Zobrazit vzorec
Show output of select statements	Zobrazit výstup příkazů select
Show output of select statements	Zobrazit výstup příkazů select
Shows the selected table or query.	Zobrazit vybranou tabulku nebo dotaz.
Show all updates	Zobrazit všechny aktualizace
Show All	Zobrazit vše
Show All	Zobrazit vše
Display All	Zobrazit vše
Display Snap Lines	Zobrazit vodítka
Display Properties	Zobrazit vlastnosti
Show minor grid	Zobrazit vedlejší mřížku
Display warning	Zobrazit varování
Show handles	Zobrazit úchyty
Show root handles	Zobrazit úchyt kořene
Show Shapes	Zobrazit tvary
Get joined fields	Zobrazit spojená pole
Display version columns (when available)	Zobrazit sloupce verzí (jsou-li k dispozici)
Show bars side by side	Zobrazit sloupce vedle sebe
Show columns	Zobrazit sloupce
Show Columns	Zobrazit sloupce
Show selection list	Zobrazit seznam pro výběr
Display report	Zobrazit sestavu
Show Rows	Zobrazit řádky
Show Equation	Zobrazit rovnici
Display dot commands	Zobrazit příkazy s tečkou
Show accepted changes	Zobrazit přijaté změny
Show UI elements for East Asian writings	Zobrazit prvky rozhraní pro východoasijská písma
Show log file	Zobrazit protokol
Show page variable	Zobrazit proměnnou stránky
Show variable	Zobrazit proměnnou
Show ruler	Zobrazit pravítko
Show notes	Zobrazit poznámky
Display Background of Master	Zobrazit pozadí předlohy
Show only the current item.	Zobrazit pouze aktuální prvek.
Show labels	Zobrazit popisky
Show items without data	Zobrazit položky bez dat
Display field	Zobrazit pole
Show advanced options	Zobrazit pokročilé volby
Show advanced options	Zobrazit pokročilé možnosti
Show enhanced solver status	Zobrazit podrobnosti o stavu řešitele
Show Enhanced Solver Status	Zobrazit podrobnosti o stavu řešitele
Show Detail	Zobrazit podrobnosti
View Details	Zobrazit podrobnosti
View Signatures...	Zobrazit podpisy...
Show subpoints	Zobrazit podbody
Show Subpoints	Zobrazit podbody
View PDF after Export	Zobrazit PDF po dokončení exportu
Display border in	Zobrazit ohraničení v
Display border	Zobrazit ohraničení
Show rejected changes	Zobrazit odmítnuté změny
Show references in color	Zobrazit odkazy barevně
Show references in color	Zobrazit odkazy barevně
Display Objects from Master	Zobrazit objekty z předlohy
Display document title	Zobrazit název dokumentu
Show Navigation Pane	Zobrazit navigační panel
Show input help when cell is selected	Zobrazit nápovědu k zadávání údajů
Show preview of fonts	Zobrazit náhled písem
Show preview	Zobrazit náhled
Show grid	Zobrazit mřížku
Display Grid	Zobrazit mřížku
Measure unit display	Zobrazit měrnou jednotku
Show meas. units	Zobrazit měrné jednotky
Show measurement units	Zobrazit měrné jednotky
Show logo	Zobrazit logo
Navigation Bar Visible	Zobrazit lištu navigace
Show Sheets...	Zobrazit listy...
Show Sheets	Zobrazit listy
Show Sheet	Zobrazit list
Show license	Zobrazit licenci
Show License	Zobrazit licenci
Display legend	Zobrazit legendu
Show Draw Functions	Zobrazit kreslící funkce
Root displayed	Zobrazit kořen
Show comments	Zobrazit komentáře
View Version Comment	Zobrazit komentář k verzi
Show Comment	Zobrazit komentář
Show Comment	Zobrazit komentář
Show coefficient of determination (R²)	Zobrazit koeficient spolehlivosti (R²)
Show Coefficient of Determination (R²)	Zobrazit koeficient determinace (R²)
Show legend key	Zobrazit klíč legendy
Show category	Zobrazit kategorii
Show as tip	Zobrazit jako tip
Show on colored cells	Zobrazit i u obarvených buněk
Show value as percentage	Zobrazit hodnotu jako procenta
Show value as number	Zobrazit hodnotu jako číslo
Show major grid	Zobrazit hlavní mřížku
Show font history	Zobrazit historii písem
Display Query	Zobrazit dotaz
Display documents in browser	Zobrazit dokumenty v prohlížeči
Show Details	Zobrazit detaily
Show numbering	Zobrazit číslování
Show entry number	Zobrazit číslo záznamu
Show Number on First Page	Zobrazit číslo na první stránce
Show cell grid lines	Zobrazit čáry mřížky pro buňky
View Grid lines	Zobrazit čáry mřížky
View Certificate...	Zobrazit certifikát...
View Certificate	Zobrazit certifikát
Show automatically	Zobrazit automaticky
Show	Zobrazit
View	Zobrazit
Show	Zobrazit
View	Zobrazit
Appear	Zobrazit
Display	Zobrazit
Display	Zobrazit
Shows the Slides Overview	Zobrazí přehled snímků
Shows the Presentation Notes	Zobrazí poznámky prezentace
Shows the Presenter Console	Zobrazí Obrazovku přednášejícího
%PRODUCTNAME Task View	Zobrazení úkolů %PRODUCTNAME
%PRODUCTNAME Events View	Zobrazení událostí %PRODUCTNAME
Text display	Zobrazení textu
Master View	Zobrazení předlohy
Presentation display:	Zobrazení prezentace:
Grid display	Zobrazení mřížky
Display grids	Zobrazení mřížek
View	Zobrazení
Display	Zobrazení
Entrance	Zobrazení
Heading Levels Shown	Zobrazené úrovně nadpisu
Show sublevels	Zobrazené úrovně
Show sublevels	Zobrazené úrovně
Displayed value	Zobrazená hodnota
Redo: 	Znovu: 
Redo:	Znovu:
Reload Frame	Znovu načíst rámec
Reload	Znovu načíst
Reload	Znovu načíst
Redo 	Znovu 
Redo	Znovu
Sounds like (Japanese)	Zní jako (japonština)
+- Sign	Znaménko +-
+ Sign	Znaménko +
-+ Sign	Znaménko -+
- Sign	Znaménko -
Characters:	Znaky:
Characters scaled $(ARG1)%	Znaky zvětšené o $(ARG1)%
Characters including spaces	Znaky včetně mezer
Characters before line break: 	Znaky před zalomením řádku:
Characters before break	Znaky před zalomením
Prefix Characters	Znaky před
Spacing Modifier Letters	Znaky pro změnu výslovnosti
Endnote Characters	Znaky pro vysvětlivky
Footnote Characters	Znaky pro poznámku pod čarou
Caption Characters	Znaky pro popisek
Characters after line break: 	Znaky po zalomení řádku:
Characters after break	Znaky po zalomení
Characters at line begin	znaky na začátku řádku
Characters at beginning of line	Znaky na začátku řádku
Characters at line end	znaky na konci řádku
Characters at end of line	Znaky na konci řádku
Characters excluding spaces	Znaky bez mezer
Characters	Znaky
Characters	Znaky
Characters per line:	Znaků na řádek:
Characters per line	Znaků na řádek
Character Style: 	Znakový styl: 
Character style:	Znakový styl:
Character Style for ruby text	Znakový styl pro ruby text
Character Style for main entries	Znakový styl pro hlavní položky
Character style	Znakový styl
Character Style	Znakový styl
Character Style	Znakový styl
Character Styles	Znakové styly
Character set:	Znaková sada:
Charset and special characters	Znaková sada a speciální znaky
Character set	Znaková sada
Character set	Znaková sada
Literal mask	Znaková maska
Character...	Znak...
Character...	Znak...
Right-to-left mark	Znak zprava doleva
Left-to-right mark	Znak zleva doprava
Character rotated by $(ARG1)°	Znak otočený o $(ARG1)°
Enclosing character	Znak okolo
Multiplication sign	Znak násobení
Minus sign	Znak mínus
Password character	Znak hesla
Char	Znak
Character	Znak
Character	Znak
Character 	Znak
Character	Znak
Index Mark to Index	Značky rejstříku do rejstříku
Index marks	Značky rejstříku
Index Markings	Značky rejstříku
Fold marks	Značky ohybu
Interval marks	Značky intervalu
'repeat character' marks	značky 'opakování znaku'
Signs	Značky – obecné
Signs - danger	Značky – nebezpečí
Tags	Značky
Flags	Značky
Emphasis mark	Značka zvýraznění
Record marker	Značka záznamu
Make	Značka
Brand	Značka
Disappear	Zmizet
Changes rejected	Změny zamítnuty
Table Changes	Změny v tabulce
Changes affect the table size	Změny ovlivní velikost tabulky
Changes affect the adjacent area only	Změny ovlivní jen sousední oblast
Changes affect the entire table	Změny ovlivní celou tabulku
Changes	Změny
Changes	Změny
fromcurrency	změny
Shrink from bottom	Zmenšit zdola
Shrink from top	Zmenšit seshora
Shrink Section	Zmenšit sekci
Reduce image resolution	Zmenšit rozlišení obrázků
Reduce Image Resolution	Zmenšit rozlišení obrázku
Decrease Spacing	Zmenšit rozestupy
Reduce bitmaps	Zmenšit rastrové obrázky
Shrink to fit cell size	Zmenšit podle velikosti buňky
Reduce Font	Zmenšit písmo
Decrease indent	Zmenšit odsazení
Decrease Indent	Zmenšit odsazení
Decrement Indent Value	Zmenšit odsazení
Desaturate	Zmenšit nasycení
Shrink	Zmenšit
Zoom Out	Zmenšit
Zoom Out	Zmenšit
Shrink at Section	Zmenšení v sekci
By changing cells	Změnou buněk
Change...	Změnit...
Change...	Změnit...
Modify...	Změnit...
Change Source Data Range	Změnit zdrojovou oblast dat
Exchange source:	Změnit zdroj:
Change Alignment	Změnit zarovnání
Change property '#'	Změnit vlastnost '#'
Resize frame	Změnit velikost rámce
Change Case	Změnit velikost písmen
Change Case	Změnit velikost písmen
Change Font Size	Změnit velikost písma
Resize table window	Změnit velikost okna tabulky
Resize window to initial page	Změnit velikost okna podle úvodní stránky
Resize window to initial page	Změnit velikost okna podle první stránky
Resize %1	Změnit velikost %1
Resize	Změnit velikost
Change Size	Změnit velikost
Promote/demote outline	Změnit úroveň osnovy
Change Position	Změnit umístění
Change Anchor	Změnit ukotvení
Adjust angle by %1	Změnit úhel o %1
Change Projection Type	Změnit typ projekce
change field type	změnit typ pole
Modify field type	Změnit typ pole
Change object title of $1	Změnit titulek objektu $1
Change object title of %1	Změnit titulek objektu %1
Change Table...	Změnit tabulku...
Change style: $1	Změnit styl: $1
Change page style: $1	Změnit styl stránky: $1
Change Font Style	Změnit styl písma
Alter structure	Změnit strukturu
Change background page assignment	Změnit přiřazení stránky s pozadím
Modify transition	Změnit přechod
Change Extrusion Surface	Změnit povrch
Change order:	Změnit pořadí:
Change order of layers	Změnit pořadí vrstev
Change order of pages	Změnit pořadí stránek
Change object order of %1	Změnit pořadí objektu %1
change field description	změnit popis pole
Change object description of $1	Změnit popis objektu $1
Change object description of %1	Změnit popis objektu %1
Alter radius by %1	Změnit poloměr o %1
Change Font	Změnit písmo
Change Lighting	Změnit osvětlení
Change Orientation	Změnit orientaci
Changed contents	Změnit obsah
Change Picture...	Změnit obrázek...
Change Object	Změnit objekt
Change by: 	Změnit o: 
Modify Name...	Změnit název...
change field name	změnit název pole
Change object name of %1 to	Změnit název objektu %1
Change name	Změnit název
Change Scale	Změnit měřítko
Change Brightness	Změnit jas
Change Icon...	Změnit ikonu...
Change Icon...	Změnit ikonu...
Change Icon	Změnit ikonu
Change Extrusion Depth	Změnit hloubku vytlačení
Change Password...	Změnit heslo...
Change Password...	Změnit heslo...
Change Password	Změnit heslo
Change Password	Změnit heslo
Modify the form	Změnit formulář
Modify effect	Změnit efekt
Change Database Range	Změnit databázovou oblast
Change page number	Změnit číslo stránky
Change Extrusion Color	Změnit barvu vytlačení
Change Fill Color	Změnit barvu výplně
Change Font Color	Změnit barvu písma
Change Line Color	Změnit barvu čáry
change field attribute	změnit atribut pole
Change %1	Změnit %1
Modify	Změnit
Modify	Změnit
Modified:	Změněný:
Modified:	Změněno:
Changed	Změněno
Modified	Změněno
Lines changed	Změněné řádky
Changes	Změněné položky
Changed attributes	Změněné atributy
Visible area changed	Změněna viditelná oblast
Modified:	Změněn:
Selection changed	Změna výběru
Change page attributes	Změna vlastností stránky
Object Resizing	Změna velikosti objektu
Object Resizing	Změna velikosti objektu
Item status changed	Změna stavu položky
Line change	Změna řádky
Changing the page count	Změna počtu stránek
Change font	Změna písma
Content changed	Změna obsahu
Fractions	Zlomky
Fraction bar	Zlomkové čáry
Fraction Bars	Zlomkové čáry
Fraction bar	Zlomková čára
Fraction	Zlomek
Page break between groups	Zlom stránky mezi skupinami
Before text:	Zleva:
From bottom left	Zleva zespodu
From top left	Zleva seshora
From left to top	Zleva nahoru
Left-to-right (horizontal)	Zleva doprava (vodorovně)
Left-to-right (vertical)	Zleva doprava (svisle)
Left to right (sort columns)	Zleva doprava (seřadit sloupce)
Left-to-right	Zleva doprava
Left-To-Right	Zleva doprava
Left-to-right	Zleva doprava
From left to bottom	Zleva dolů
from left	zleva
From left	Zleva
From left	Zleva
Before text	Zleva
Gold	Zlato
gold	zlatá
Retry	Zkusit znovu
Retry	Zkusit znovu
Shortcut Keys	Zkratky
Shortcut	Zkratka
Shortcut	Zkratka
Abbreviation	Zkratka
Slant Horizontal	Zkosit vodorovně
Slant Vertical	Zkosit svisle
Fade Up	Zkosit nahoru
Fade Up and Right	Zkosit doprava nahoru
Fade Right	Zkosit doprava
Fade Up and Left	Zkosit doleva nahoru
Fade Left	Zkosit doleva
Octagon Bevel	Zkosený osmiúhelník
Diamond Bevel	Zkosený kosočtverec
Square Bevel	Zkosený čtverec
Beveled	Zkosený
Line skew	Zkosení čáry
Slant	Zkosení
Copy list from	Zkopírovat seznam z
Copy Column Description	Zkopírovat popis sloupce
Copy Hyperlink Location	Zkopírovat adresu odkazu
Copy Hyperlink Location	Zkopírovat adresu odkazu
Check the destination folder.	Zkontrolujte cílovou složku.
Check now	Zkontrolovat nyní
Check Connection Settings...	Zkontrolovat nastavení spojení...
Check Connection Settings...	Zkontrolovat nastavení připojení...
Check grammar	Zkontrolovat gramatiku
Recheck Document...	Zkontrolovat dokument...
Compile	Zkompilovat
Combine	Zkombinovat
Reduce gradients	Zjednodušit přechody
Reduce gradient	Zjednodušit přechod
Simplified Chinese to traditional Chinese	Zjednodušená čínština na tradiční čínštinu
Chinese simplified (Windows-936)	Zjednodušená čínština (Windows-936)
Chinese simplified (ISO-2022-CN)	Zjednodušená čínština (ISO-2022-CN)
Chinese simplified (GBK/GB-2312-80)	Zjednodušená čínština (GBK/GB-2312-80)
Chinese simplified (GB-2312)	Zjednodušená čínština (GB-2312)
Chinese simplified (GB-18030)	Zjednodušená čínština (GB-18030)
Chinese simplified (EUC-CN)	Zjednodušená čínština (EUC-CN)
Chinese simplified (Apple Macintosh)	Zjednodušená čínština (Apple Macintosh)
tomorrow	zítra
Tomorrow	Zítra
Get more templates for %PRODUCTNAME	Získejte další šablony pro %PRODUCTNAME
Retrieving the relevant documents...	Získávám příslušné dokumenty...
Retrieve generated values	Získat vygenerované hodnoty
Get more templates online...	Získat více šablon online...
Get more dictionaries online...	Získat více slovníků online...
Script to execute to obtain the data	Získat data pomocí skriptu
Get some webcontent from an URI.	Získá webový obsah z URI.
From bottom	Zezdola
From inside	Zevnitř
zeta	zeta
ZETA	ZETA
Lighten	Zesvětlit
Prompt user	Zeptat se uživatele
Ask when not saving in ODF format	Zeptat se při ukládání do jiného formátu než ODF
Country/State	Země/Stát
Country/State	Země/stát
Country/State	Země/Stát
Country/Region	Země/Region
Country/Region	Země/Region
Country (Work)	Země (práce)
Country	Země
Green Gradient	Zelený přechod
Green Circle	Zelený kruh
teal	zelenomodrá
Green Grapes	Zelené víno
Green: 	Zelená: 
Color Green	Zelená barva
Green & Red	Zelená a červená
Green 1 (LibreOffice Main Color)	Zelená 1 (hlavní barva LibreOffice)
green	zelená
Green	Zelená
Green	Zelená
Wall	Zeď
From Template...	Ze šablony...
From Template	Ze šablony
From template	Ze šablony
From a template	Ze šablony
From center counter-clockwise	Ze středu proti směru ručiček
From center clockwise	Ze středu po směru ručiček
From the Middle	Ze středu
From file...	Ze souboru...
From File...	Ze souboru...
From file...	Ze souboru...
From File...	Ze souboru...
From file	Ze souboru
From bibliography database	Ze seznamu literatury
Complimentary close	Zdvořilostní zakončení
Complimentary Close	Zdvořilostní zakončení
Complimentary close	Zdvořilostní zakončení
Emphasis	Zdůraznění
Source Text	Zdrojový text
Source stream	Zdrojový proud
Source image:	Zdrojový obrázek:
Source picture:	Zdrojový obrázek:
Source picture	Zdrojový obrázek
Source code	Zdrojový kód
HTML source	Zdrojový HTML text
HTML Source	Zdrojový HTML text
Parent Form	Zdrojový formulář
Source documents	Zdrojové dokumenty
Source data ranges:	Zdrojová oblast dat:
Source data range	Zdrojová oblast dat
Pivot table source data is invalid.	Zdrojová data kontingenční tabulky jsou neplatná.
Data Sources...	Zdroje dat...
Data Sources...	Zdroje dat...
Data Sources	Zdroje dat
Source:	Zdroj:
Resource exhausted	Zdroj vyčerpán
Source of Variation	Zdroj variability
Light Source %LIGHTNUMBER	Zdroj světla %LIGHTNUMBER
Light source	Zdroj světla
List entry source	Zdroj seznamu
Light source	Zdroj osvětlení
Source of the OLE link has been converted.	Zdroj OLE odkazu byl převeden.
Source not specified.	Zdroj není určen.
The source cannot be loaded.	Zdroj není možné načíst.
Create names from	Zdroj názvů
Data source:	Zdroj dat:
Data source registered in %PRODUCTNAME	Zdroj dat registrován v %PRODUCTNAME
Data source not found	Zdroj dat nenalezen
Data source as Table	Zdroj dat jako tabulka
Data Source of Current Document	Zdroj dat aktuálního dokumentu
Data source	Zdroj dat
Data Source	Zdroj dat
Data source	Zdroj dat
Data source object	Zdroj dat
Address Book Source...	Zdroj adresáře...
Address Book Source	Zdroj adresáře
Address Data Source...	Zdroj adres...
Address Data Source...	Zdroj adres...
Source and destination must not overlap.	Zdroj a cíl se nesmějí překrývat.
Source	Zdroj
Source	Zdroj
Bottom to Top	Zdola nahoru
From bottom 	Zdola 
From bottom	Zdola
This is where you enter and view notes.	Zde zadáváte a můžete si prohlížet poznámky.
This is where you create and edit slides.	Zde vytváříte a upravujete snímky.
Taxable	Zdanitelné
Time remaining: {[1] min }[2] sec	Zbývající čas: {[1] min }[2] sek
SalvageValue	ZbytkováCena
SalvageVal	ZbytCena
Whites/Unwhites the screen	Zbělení/Obnovení obrazovky
Records	Záznamy
Record changes	Zaznamenávat změny
Record Changes	Zaznamenávat změny
Record Macro	Zaznamenat makro
Recorded changes	Zaznamenané změny
Recorded by	Zaznamenal
DietLog	ZáznamDiet
ExerciseLog	ZáznamCvičení
Record :	Záznam:
Record	Záznam
Record	Záznam
Close Master View	Zavřít předlohu
Close Window	Zavřít okno
Close Sidebar Deck	Zavřít obsah postranní lišty
Close Preview	Zavřít náhled
Close Preview	Zavřít náhled
Close Toolbar	Zavřít lištu
Close Document	Zavřít dokument
Close without saving	Zavřít bez uložení
Close %1	Zavřít %1
Close	Zavřít
Close	Zavřít
Operator Brackets (Scalable)	Závorky operátoru (zvětšující se)
Operator Brackets	Závorky operátoru
Brackets	Závorky
Brackets	Závorky
Parentheses	Závorky
Please specify last settings	Závěrečné informace
Conclusion:	Závěr:
Turn Up	Zatočit nahoru
Turn Up Right	Zatočit doprava nahoru
Turn Down Right	Zatočit doprava dolů
Turn Down	Zatočit dolů
Fade object	Zatmění objektu
Not recovered yet	Zatím neobnovováno
Send Feedback...	Zašlete nám svůj názor...
Check Box	Zaškrtávací políčko
checkbutton	zaškrtávací políčko
Form Check Box	Zaškrtávací políčko
Plug-in...	Zásuvný modul...
Browser Plug-in	Zásuvný modul prohlížeče
Plug-in	Zásuvný modul
Plug-in object	Zásuvný modul
Plug-ins Off	Zásuvné moduly vypnuty
Plug-ins	Zásuvné moduly
Ease Out	Zasunutí
Placeholder	Zástupný znak
Text placeholders	Zástupné znaky textů
Text Placeholders	Zástupné znaky textů
Text placeholder	Zástupné znaky textů
Text placeholders	Zástupné znaky textů
Picture Placeholders	Zástupné znaky obrázků
Placeholders	Zástupné znaky
Shortcut: [1]	Zástupce: [1]
Stop streaming	Zastavit přenášení dat
Stop Previous Sound	Zastavit předchozí zvuk
Stop Recording	Zastavit nahrávání
Stop Macro	Zastavit makro
Stop	Zastavit
Stop	Zastavit
Stopping services	Zastavení služeb
stop	zastav
Call Stack	Zásobník volání
Paper tray:	Zásobník papíru:
Paper tray from printer settings	Zásobník papíru z nastavení tiskárny
Paper tray	Zásobník papíru
Paper tray	Zásobník papíru
Credits	Zásluhy
Credits	Zásluhy
ShippedVia	ZaslánoPřes
ShippedFrm	ZaslánoOd
ShippedFrom	ZaslánoOd
ShippedTo	ZaslánoKomu
Paper jam	Zaseknutý papír
Device not available.	Zařízení je nedostupné.
Drive $(ARG1) does not exist.	Zařízení $(ARG1) neexistuje.
Device (drive) not ready.	Zařízení (mechanika) není připravené.
The device (drive) $(ARG1) is invalid.	Zařízení (mechanika) $(ARG1) je neplatné.
Device	Zařízení
FilmExpirationDate	ZárukaFilmu
Right Align on Section	Zarovnat vpravo v sekci
Align right	Zarovnat vpravo
Align Right	Zarovnat vpravo
Align Center Horizontally	Zarovnat vodorovně na střed
Left Align on Section	Zarovnat vlevo v sekci
Align left	Zarovnat vlevo
Align Left	Zarovnat vlevo
Align to Vertical Center of Character	Zarovnat svisle na střed znaku
Align to Vertical Center of Line	Zarovnat svisle na střed řádku
Align Center Vertically	Zarovnat svisle na střed
Align data series to	Zarovnat série dat na
Align Objects	Zarovnat objekty
Top Align on Section	Zarovnat nahoru v sekci
Align Top	Zarovnat nahoru
Align to top	Zarovnat nahoru
