App info	Informace o aplikaci
Demote list item (list item has to be selected)	Snížit úroveň položky seznamu (položka musí být vybrána)
Tab	Tab
Promote list item (list item has to be selected)	Zvýšit úroveň položky seznamu (položka musí být vybrána)
Shift + Tab	Shift + Tab
Text selection and navigation in a textbox	Výběr textu a navigace v textovém poli
Go and select text to start of textbox	Přejít na začátek textového pole a vybrat při tom text
Go and select text to end of textbox	Přejít na konec textového pole a vybrat při tom text
Slide / draw page keyboard shortcuts	Klávesové zkratky snímku/kresby
Escape current mode, i.e. from edit mode switch to object selection mode, from object selection mode switch to view mode.	Opustit aktuální režim, tj. z režimu úprav přepnout do režimu výběru objektu, z režimu výběru objektu přepnout do režimu prohlížení.
Esc	Esc
Select objects in the order in which they were created	Vybírat objekty v pořadí, v jakém byly vytvořeny
Select objects in the reverse order in which they were created	Vybírat objekty v opačném pořadí, než v jakém byly vytvořeny
Move to next text object on slide / drawing page	Přesunout se na další textový objekt na snímku/kresbě
Select all in slide / drawing page	Vybrat vše na snímku/kresbě
"<span class=""productname"">%productName</span> Help"	
Collaborative editing	Formátování buňky
"<span class=""productname"">%productName</span> user interface"	
Opening, closing, saving, printing and downloading documents	
Editing documents	
Advanced features	
"<span class=""productname"">%productName</span> spreadsheets"	
Editing spreadsheets	
Formulas	
Formatting spreadsheets	
"<span class=""productname"">%productName</span> text documents"	
Editing text documents	
Context menus	
Advanced text document editor features	
"<span class=""productname"">%productName</span> presentations"	
Editing presentations	
Slide show	
Slide pane	
Frequently Asked Questions	
General	
Text documents	
Spreadsheets	
Presentations	
"<span class=""productname"">%productName</span> allows you to create and edit office documents text documents, spreadsheets and presentations directly in your browser, in a simple and straight-forward way. You can work alone on a document, or collaboratively as part of a team."	
Each user gets assigned a color. The cursor of each user will be shown in the assigned color. Note: you will see your cursor as black, blinking cursor, although others will see you with a different color.	
You can jump to the cursor of a user by clicking on the name (or avatar) of the user. It is possible to follow the editor.	
"<span class=""productname"">%productName</span> notifies you with a small notification in the footer when a new user enters or when a user leaves."	
"<span class=""productname"">%productName</span> uses modern browser resources to adapt the user interface to the size of the viewing area, including small screens found in mobile devices. The interface is composed of:"	
"<span class=""def"">The document area:</span> The application area shows the document contents, either spreadsheets, presentations or text documents."	
"<span class=""def"">The menu bar:</span> The main menu is placed on the top and includes many options, commands for printing, editing, viewing and other advanced commands. You can hide the menu bar clicking on the <img style=""height:0.6cm;width:0.6cm;"" src=""images/fold.svg""> icon on the far right. Click on the <img style=""height:0.6cm;width:0.6cm;"" src=""images/unfold.svg""> icon to show the menu."	
"<span class=""def"">Context menus:</span> On clicking with the right mouse button, a menu appears with commands associated with the underlying object."	
"<span class=""def"">The toolbar:</span> The toolbar contains the most used options for daily editing. Toolbar buttons are dynamic, meaning that their state (on or off) depends on different factors."	
"<span class=""def"">The status bar:</span> The status bar is shown in the bottom, and contains several useful options and features."	
"<span class=""def"">The search bar:</span> Searching starts automatically when content is inserted in the search box, and the document window automatically moves to the first occurrence found. Searching is not case-sensitive. There are three buttons right next to the search box:"	
Search backwards	
Search forward	
Cancel the search (appears only when a text has been searched)	
"<span class=""def"">The zoom bar:</span> At the right of the status bar, there is a set of buttons that allow you to zoom to 100%, zoom out and zoom in. The zoom applies to the document area, the user interface is not affected. The current level of zoom is shown in this area."	
Text, charts, shapes and svg images will stay sharp, when zooming in, you will only see pixels appear at inserted images, such as jpg’s or png’s.	
Using the browser zoom affects the document and user interface areas.	
"<span class=""def"">The information bar:</span> At the right of the search bar, a set of information on the on the document is displayed. The actual information depends on the nature of the document."	
"Your documents are stored and managed in the cloud storage that is integrated with <span class=""productname"">%productName</span>."	
"To download a document download it from the <span class=""productname"">%productName</span> application’s <span class=""ui"">File</span> menu. The download formats available depends on the application. All applications exports documents in PDF format."	
"To open document, click on the file to open the <span class=""productname"">%productName</span> module associated to the document format."	
"Documents in <span class=""productname"">%productName</span> save automatically, but if you are concerned that a document is synchronized as quickly as possible you can also force saving using the <span class=""ui"">File</span> menu’s <span class=""ui"">Save</span> entry."	
Depending on the capabilities of your browser the print window may appear or a “Download PDF export?” popup shows. You can print this PDF in your favorite PDF reader.	
When closing a document, it is automatically saved if it has been changed.	
Document editing should be familiar to everyone that has used an office application before, but here are some distinctive features:	
Copy and Paste	
"Rich content copy/cut and paste is supported, not only within a given document, but also across documents on the same or different <span class=""productname"">%productName</span>. For these internal uses, users can copy/cut content, including images and mixed content, on PC by using the keyboard shortcuts directly (<span class=""kbd"">Ctrl</span> + <span class=""kbd"">X</span>, <span class=""kbd"">Ctrl</span> + <span class=""kbd"">C</span>, <span class=""kbd"">Ctrl</span> + <span class=""kbd"">V</span>). For security reasons it is necessary to use <span class=""kbd"">Ctrl</span> + <span class=""kbd"">V</span> to paste on PC, but context menus can be used for cut and copy. On Android or iOS selecting text by double tapping, and using a long-tap to access copy/cut/paste via the context menu is required."	
"To copy larger pieces of content to other applications on your device, users need to press the <span class=""ui"">Start download</span> button, and then re-copy this to their clipboard in order to make it available to the target application to read. This is possible via a tiny widget that pops up in the bottom-right corner, and is only necessary to export the content for pasting in external applications. This step also converts complex object types into static images."	
Document repair	
When multiple people edit the same document concurrently, it is possible for their changes to conflict and this can cause some confusion. The Document Repair function allows users to undo other editor’s changes to the document to a previous state.	
"To jump back to the selected state, select it with the mouse and hit <span class=""ui"">Jump to state</span>."	
"This is particularly useful – say when a colleague inadvertently selected all text in the document with <span class=""kbd"">Ctrl</span> + <span class=""kbd"">A</span> and proceeded to type over it destroying it – while you were concurrently editing."	
Inactive document	
"When <span class=""productname"">%productName</span> detects that there has not been any activity in the browser for a while, it puts the document in an “Inactive” state. The document is shown with a transparent gray overlay, with the message “Inactive document – please click to resume editing”."	
To continue editing, click on the document and the layover and message disappear. Any changes that may have been made by other users – while collaboratively editing the document – are re-loaded.	
Pasting	
When you paste content copied from within the same document, the format and elements are maintained. If you copy from another document, in another tab or browser window, of from outside of the browser, the pasted content will preserve rich text.	
"You can paste as unformatted text with the keyboard shortcut: <span class=""kbd"">Ctrl</span> + <span class=""kbd"">Alt</span> + <span class=""kbd"">Shift</span> + <span class=""kbd"">V</span>"	
When you paste text from within the document, formatting will be respected. You can also paste objects, such as images, if they are copied from the document you are working in.	
When you paste text from outside of the document (another browser window or a desktop application, it will be pasted as rich text.	
When you have internal cut or copied content, you can paste this content with the right mouse button menu.	
Adding charts	
"<span class=""productname"">%productName</span> supports inserting and visualization of charts in documents. To add a chart:"	
Select a table in text document, a range in a spreadsheet or a table in a presentation.	
"Choose <span class=""ui"">Insert</span> → <span class=""ui"">Charts</span>. Customize your chart on the sidebar:"	
If no table or range was selected, a prototype chart is displayed.	
"<span class=""def"">Chart editing:</span> Double click the chart to select. Use context menus to add chart elements such as title, axis, and other. Choose <span class=""ui"">Data Range</span> and <span class=""ui"">Chart Type</span> to edit chart data and select chart type."	
"<span class=""def"">Chart formatting:</span> The same context menu brings you to chart data table and chart type selection."	
"<span class=""def"">Data series formatting:</span> Open the context menu and choose <span class=""ui"">Format data series</span>."	
Handling images	
"<span class=""productname"">%productName</span> inserts images in the text document from your local computer or from your cloud storage. Inserted images are always embedded in the document."	
"<span class=""def"">Insert image:</span> Clicking on the <span class=""ui"">Insert image</span> icon allows you to choose an image from the cloud storage's folders and shares."	
"<span class=""def"">Insert local image:</span> opens the browser file picker to upload the image from your local computer and insert it into the document."	
Images can be resized, rotated and anchored. Text can be wrapped around the image. Select the image and open the context menu. Use the images handles to resize the image with the mouse.	
Comments in documents	Přejít na konec dokumentu
"Insert comments in <span class=""productname"">%productName</span> in places that need special reader attention. Comments are displayed on the right and carry the name and date of the issuer."	
"Click on the submenu (<img style=""height:0.6cm;width:0.6cm;"" alt="""" src=""images/submenu.svg"">) icon to reply, move and delete comments."	
Spellchecking	
"<span class=""productname"">%productName</span> can check spelling in text documents, spreadsheets and presentations. A red wavy underline indicates misspelled words. Click on the right mouse button to open a context menu with suggested misspelling corrections."	
"To systematically spell-check the whole document use the <span class=""ui"">Tools</span> menu’s <span class=""ui"">Spelling</span> option."	
"You edit an online spreadsheet in the same way you edit a desktop spreadsheet. Operations like entering data, selecting ranges, columns, rows or sheets are the same. Use the keyboard, menus or toolbar to command actions in the spreadsheet. Dragging cells contents to fill cells with data is also supported. Copy, cut and paste commands are available from the context menu. Following entered data with a <span class=""kbd"">Tab</span> will move the cursor to the next cell to the right, and with an <span class=""kbd"">Enter</span> to the cell below for easy further data entry."	
Formulas are entered in the formula bar. Enter '=' and insert the formula.	
All spreadsheets functions and mathematical rules applies.	
"The formula language should be extremely familiar to any spreadsheet user, and is specified in great detail in the <a href=""https://www.oasis-open.org/committees/download.php/16826/openformula-spec-20060221.html"">OASIS OpenFormula specification</a>."	
"<span class=""def"">Direct formatting:</span> You can format spreadsheets cells, columns, rows and sheets by formatting directly from the menus, toolbar or context menus. Direct formatting applies only to the current object selected. To format a cell either use the menu or hit <span class=""kbd"">Ctrl</span> + <span class=""kbd"">1</span>. The dialog allows complex and custom number formatting, as well as font, complex border, background, cell protection and other options."	
"<span class=""def"">Sorting data:</span> You can sort a list of numbers or text ascending or descending. <span class=""productname"">%productName</span> automatically detects cells that are headers, and adjoining columns, to extend the selection."	
"<span class=""def"">Filtering data:</span> Filters and advanced filters allow you to work on certain filtered rows (records) of a data range. In the spreadsheets in <span class=""productname"">%productName</span> there are various possibilities for applying filters."	
"One use for the <span class=""ui"">AutoFilter</span> function is to quickly restrict the display to records with identical entries in a data field."	
"In the <span class=""ui"">Standard Filter</span> dialog, you can also define ranges which contain the values in particular data fields. You can use the standard filter to connect the conditions with either a logical AND or a logical OR operator."	
"The <span class=""ui"">Advanced Filter</span> allows up to a total of eight filter conditions. With advanced filters you enter the conditions directly into the sheet."	
"<span class=""def"">Outlining:</span> You can create an outline of your data and group rows and columns together so that you can collapse and expand the groups with a single click making it easy to represent hierarchical data."	
"<span class=""def"">Data validation:</span> For each cell, you can define entries to be valid. Invalid entries to a cell will be rejected. To enable data validation:"	
"Choose <span class=""ui"">Validity</span> from the <span class=""ui"">Data</span> menu. The <span class=""ui"">Validity</span> dialog opens."	
"Select the validity criterion in the <span class=""ui"">Allow</span> drop-box list. Depending on the criterion, more options shows. Fill the required data."	
"Use the <span class=""ui"">Input Help</span> and <span class=""ui"">Error Alert</span> tabs to enhance the user interactions. Click <span class=""ui"">OK</span> to close the dialog."	
"To remove the validity of the cell, open the dialog and set the <span class=""ui"">Allow</span> list to “All values”."	
"<span class=""def"">Comments:</span> In a spreadsheet you can insert one comment per cell. When you select <span class=""ui"">Insert comment</span>, a popup appears that allows you to write the content for the comment. A red dot shows on the top right corner of the cell when it has a comment. Hover the mouse on the cell to display comments."	
"<span class=""def"">Conditional formatting:</span> <span class=""productname"">%productName</span> adds symbols to each cell of a range based on cells conditions. Select the cell range and click the <span class=""ui"">Conditional Formatting</span> icon on the toolbar. Select the symbol set to apply on the range."	
"<span class=""productname"">%productName</span> edits text documents in the same way you edit a desktop document. It provides a What You See Is What You Get (WYSIWYG) layout – that conveniently lays out the document as it will be printed. Operations like typing text, cut, copy and pasting contents, selecting text, inserting, resizing, anchoring images, adding and handling tables and charts, are similar to a desktop word processor. Use the keyboard, menus and toolbars to interact with your document."	
Context menus are available on clicking the right mouse button. The commands available in the context menu are related - not extensively - to the underlying object in the document.	
Formatting text	Formátování textu
"<span class=""productname"">%productName</span> supports modern techniques for paragraph formatting through styles. A style is a set of text properties (font, color, background and many more) labeled with a name, the style name. Use style to apply the same set of properties to many paragraphs in the document and produce a uniform, professional look. Also, if you change one of the style formatting properties, all paragraphs with the same style changes formatting as well, simplifying the effort of formatting many paragraph individually."	
In contrast, direct formatting applies formatting to selected excerpts of the document contents. On a long document, direct formatting must be applied in every text excerpt, turning text formatting a long task, subject to errors and delays.	
"<span class=""def"">Direct formatting:</span> You can format text document objects by formatting directly from the menus, toolbar or context menus. Direct formatting applies only to the current object selected."	
"<span class=""def"">Style formatting:</span> <span class=""productname"">%productName</span> support paragraph styles. You can apply an existing paragraph style to a paragraph. Choose menu <span class=""ui"">Edit</span> → <span class=""ui"">Edit styles</span> to change style."	
Handling Tables	
"Insert tables with proper icon in the toolbar. Select the initial number of rows and columns. Add rows and columns with the cell context menu. Merge cells with the <span class=""ui"">Table</span> menu. The default paragraph style inside cells is “Table contents”."	
"<span class=""def"">Formatting cells:</span> Click in the cell or range of cells and choose menu <span class=""ui"">Table</span> → <span class=""ui"">Properties</span>. Fine tune the table with the properties dialog."	
Track changes	
"When you turn on Track Changes, <span class=""productname"">%productName</span> marks up new changes made to the document. Select this option again to turn it off."	
Changes made by different people are shown in different colors and each tracked change can be accepted or rejected, using the box the appears on the right. You can also add a comment there.	
Other advanced features	
"<span class=""def"">Comments:</span> Comments are inserted in the text and displayed on the right side of the screen."	
"<span class=""def"">Formatting marks:</span> Paragraph, page and unbreakable spaces are shown as marks to assisting text alignment, editing and formatting."	
"<span class=""def"">Fields:</span> A basic set of fields is available to insert in the document."	
"<span class=""def"">Alphabetical index:</span> Existing alphabetical index can be updated with new entries."	
"<span class=""def"">Page header and footer:</span> Headers and footers are available for the existing page style applied in the document at the cursor position."	
"<span class=""def"">Footnotes and endnotes:</span> Footnotes and endnotes are supported, being rendered as they are shown."	
"<span class=""productname"">%productName</span> Impress edits presentations in a way that should be familiar to people. Operations like typing text, cut, copy and pasting contents, selecting text , inserting, resizing, anchoring images, adding and handling tables, are similar to a desktop presentation application. Use the keyboard, menus and toolbars to perform actions in your document."	
"<span class=""productname"">%productName</span> displays presentation slide shows, including a subset of slide transitions and object animations. Choose the slide show from the menu or click on icon in the bottom left toolbar in the slide pane."	
"To exit a <span class=""productname"">%productName</span> slide show, press the <span class=""kbd"">Esc</span> key to return to the presentation edit mode."	
Click on any slide thumbnail in the pane to switch to this slide to view or edit it.	
Use the slide pane toolbar in the bottom to start the slideshow, add slide, duplicate or delete the current slide.	
"<span class=""def"">Slide layouts:</span> <span class=""productname"">%productName</span> Impress let you change the slide layout. Select the desired slide layout in the drop-down layout list."	
"<span class=""def"">Master slide:</span> Select the master slide associated to the current slide. Format and arrange slide elements in the master slide."	
"<span class=""def"">Slide transitions:</span> <span class=""productname"">%productName</span> Impress provides visual effects when displaying a new slide in the slide show. Slide transitions are property of the slide, use the side bar to set the slide transition when in edit mode."	
"<span class=""def"">Object animation:</span> Individual object in the slide can have animation. Use the side bar to configure the slide transition for a selected object or set of objects."	
"<span class=""def"">Tables:</span> Insert tables in the presentation. Use the sidebar to select the table theme."	
"What are the documents file formats supported by <span class=""productname"">%productName</span>?"	
"<span class=""productname"">%productName</span> supports both reading and writing for the following file formats:"	
Text documents: Microsoft formats DOC, DOCX, RTF. OpenDocument Format ODT	
Spreadsheets: Microsoft formats XLS, XLSX, OpenDocument Format ODS	
Presentations: Microsoft formats PPT, PPTX, OpenDocument Format ODP	
In addition it can provide viewing for Visio, Keynote, Numbers, and Pages formats.	
How do I save a document with another name?	
Hover the mouse on the document name in the menu bar.	
"Type the new file name in the text box and press <span class=""kbd"">Enter</span>."	
A copy of the document is saved with the new name in the same folder.	
"How can I quit <span class=""productname"">%productName</span> without saving my edits?"	
"<span class=""productname"">%productName</span> saves the document in the background regularly, you can't just close without saving it. To abandon your changes, you must either undo them, or use the <span class=""ui"">Revision History </span> in the <span class=""ui"">File</span> menu."	
"Can <span class=""productname"">%productName</span> open a password-protected document?"	
"Yes. <span class=""productname"">%productName</span> opens password-protected documents, but it is necessary to supply the password in the “Enter password” prompt at load time."	
How can I check spelling in my language?	
"Choose menu <span class=""ui"">Tools</span> → <span class=""ui"">Languages</span> and select the language for the whole document. Optionally you can set languages for the selected text and for the current paragraph."	
How can I remove the red wavy lines in my document?	
"Choose menu <span class=""ui"">Tools</span> and uncheck <span class=""ui"">Automatic Spell Checking</span>."	
What is the blue wavy underline in some words in the text?	
Grammar errors in the text is marked with the blue wavy underline. Click on the underlined text with the right mouse button to open a menu with suggestions to correct the grammar error and the offending grammar rules. Select the right suggestion to change the text.	
Is here a thesaurus?	
"Yes. Click in the word you want and choose <span class=""ui"">Tools</span> → <span class=""ui"">Thesaurus</span>. A dialog opens with many suggestions for replacements."	
"What are the blue <span class=""blue"">¶</span> symbol and how can I remove from my text document?"	
"The <span class=""blue"">¶</span> symbol is a formatting mark. It is used to help text alignment and editing and is not printed. To toggle it in the document display, choose menu <span class=""ui"">View</span> → <span class=""ui"">Formatting mark</span>."	
How do I get a word count of my document?	Přejít na začátek dokumentu
"Word count is available in <span class=""ui"">Tools</span> → <span class=""ui"">Word count</span>. A dialog shows word counts for selection and for the whole document."	
Word count is also displayed in the status bar. If no text is selected the word count is for the whole document. Otherwise the word count is for the selected text.	
How can I insert a currency, copyright or trademark symbol in the document?	
"You can insert these special characters in the document using the <span class=""ui"">Special Character</span> dialog."	
Place the cursor in the position to insert the character.	
"Choose <span class=""ui"">Insert</span> → <span class=""ui"">Special Characters </span> or click the corresponding icon in the toolbar. A dialog shows."	
"You can either browse the characters displayed with the drop lists or type a search key in the <span class=""ui"">Search</span> box. If you know the Unicode numeric code of the special character, enter in the boxes on the right."	
"Press <span class=""ui"">Insert</span> button. To close the dialog, press <span class=""ui"">Cancel</span>."	
Why can't I delete text? It just gets a strike-through?	
