"source"	"target"
"'Comma separated value' files (*.csv)"	"Arquivos CSV (valores separados por vírgulas) (*.csv)"
"'G', 'S'"	"'G' ou 'S'"
"'H', 'L'"	"'H' ou 'L'"
"'Modified' status was changed"	"O status 'modificado' for alterado"
"'repeat character' marks"	"marcas de 'repetição de caracteres'"
"'RIGHT' expected"	"Falta 'RIGHT'"
"'Save as' has failed"	"'Salvar como' falhou"
"'W', ','"	"'W' ou  ','"
"'XX' cannot be added."	"Não é possível adicionar 'XX'."
"'XX' cannot be replaced."	"Não é possível substituir 'XX'."
"'XX' was not added."	"'XX' não foi adicionado."
""""	""""
"""$(ARG1)"" is not an absolute URL that can be passed to an external application to open it."	"""$(ARG1)"" não é um URL absoluto que possa ser enviado para ser aberto por uma aplicação externa."
"""Page "" & #PAGENUMBER#"	"""Página "" & #PAGENUMBER#"
"""Prohibited"" Symbol"	"Símbolo ""proibido"""
"“|‘"	"“|‘"
"”|’"	"”|’"
"("	"("
"( 1 - 45 )"	"( 1 - 45 )"
"( 1 - 48 )"	"( 1 - 48 )"
"()"	"()"
"(%1 PPI)"	"(%1 PPP)"
"(1-45)"	"(1-45)"
"(1-48)"	"(1-48)"
"(Anchor only)"	"(Somente âncora)"
"(current document)"	"(documento atual)"
"(Date)"	"(Data)"
"(Default)"	"(Padrão)"
"(empty)"	"(vazio)"
"(exclusive access)"	"(acesso exclusivo)"
"(filtered)"	"(filtrado)"
"(fixed)"	"(fixo)"
"(Inner products) Returns the sum of the products of array arguments."	"(Produtos internos) Retorna a soma dos produtos dos argumentos de matriz."
"(Minimum $(MINLEN) characters)"	"(No mínimo $(MINLEN) caracteres)"
"(Minimum 1 character)"	"(Mínimo de 1 caractere)"
"(multiple)"	"(múltiplo)"
"(nested)"	"(aninhado)"
"(no author)"	"(sem autor)"
"(no date)"	"(sem data)"
"(no function);Group"	"(sem função);Grupo"
"(no name set)"	"(sem nome definido)"
"(No sound)"	"(Sem som)"
"(no suggestions)"	"(sem sugestões)"
"(no table)"	"(sem tabela)"
"(none)"	"(nenhum)"
"(None)"	"(Nenhum)"
"(none)"	"(nenhuma)"
"(not sorted);ascending;descending"	"(não classificado);crescente;decrescente"
"(Notes)"	"(Notas)"
"(optional)"	"(opcional)"
"(Page Style: "	"(Estilo de página: "
"(Paragraph Style: "	"(Estilo de parágrafo: "
"(Preview mode)"	"(Modo de visualização)"
"(Preview mode)"	"(modo de visualização)"
"(read-only)"	"(só leitura)"
"(read-only)"	"(somente leitura)"
"(read-only)"	"(somente-leitura)"
"(Replace)"	"(Substituir)"
"(required)"	"(necessário)"
"(required)"	"(obrigatório)"
"(Search)"	"(Localizar)"
"(Selected)"	"(Selecionada)"
"(Signed)"	"(Assinado)"
"(Standard)"	"(Padrão)"
"(Stop previous sound)"	"(Parar som anterior)"
"(The password can be empty)"	"(A senha pode estar em branco)"
"(time limit # seconds)"	"(limite de tempo de # segundos)"
"(Time)"	"(Hora)"
"(Without)"	"(Sem)"
")"	")"
") into the variable cell anyway?"	") na célula variável?"
"["	"["
"[]"	"[]"
"[*] cannot be used as a sort criterion."	"[*] não pode ser utilizado como critério de classificação."
"[1]"	"[1]"
"[2] cannot install one of its required products. Contact your technical support group.  {{System Error: [3].}}"	"[2] não pôde instalar um de seus produtos necessários. Entre em contato com o grupo de suporte técnico.  {{Erro de sistema: [3].}}"
"[2] is not a valid short file name."	"[2] não é um nome de arquivo curto válido."
"[All]"	"[Todos]"
"[Default Language]"	"[Idioma padrão]"
"[Enter ""yes"" or ""no""]:"	"[Digite ""sim"" ou ""não""]:"
"[Enter text here]"	"[Inserir texto aqui]"
"[Enter text here]"	"[Insira o texto aqui]"
"[From printer settings]"	"[Das configurações da impressora]"
"[INSTALLDIR]"	"[INSTALLDIR]"
"[L]"	"[C]"
"[L]: Load and convert the object"	"[C]: Carregar e converter objeto"
"[M]"	"[S]"
"[M]: Replace while modifying existing text"	"[S]: Substituir ao modificar o texto existente"
"[None]"	"[Nenhum]"
"[None]"	"[Nenhuma]"
"[none]"	"[nenhuma]"
"[placeholder for message]"	"[espaço reservado para mensagem]"
"[ProductName]"	"[ProductName]"
"[ProductName] can be set as the default application to open Microsoft Office file types. This means, for instance, that if you double click on one of these files, [ProductName] will open it, not the program that opens it now."	"O [ProductName] pode ser definido como o aplicativo padrão para abrir os tipos de arquivo do Microsoft Office. Isso significa, por exemplo, que se clicar duas vezes em um desses arquivos, o [ProductName] irá abri-lo e não o programa que o abre atualmente."
"[ProductName] cannot be installed on this Windows version. [WindowsMinVersionText] or newer is required."	"O [ProductName] não pode ser instalado nesta versão do Windows. É necessário o [WindowsMinVersionText] ou um mais novo."
"[ProductName] cannot be installed on this Windows version. Windows XP or newer is required."	"O [ProductName] não pode ser instalado nesta versão do Windows. É necessário o Windows XP ou numa versão mais recente."
"[ProductName] Setup is preparing the Installation Wizard which will guide you through the program setup process.  Please wait."	"O programa de instalação do [ProductName] está preparando o assistente para ajudá-lo com o processo de instalação.  Aguarde."
"[ProductName] will be installed with the default components, including user interface languages and spelling dictionaries matching your current language settings."	"O [ProductName] será instalado com os componentes padrão, a interface do usuário e os dicionários ortográficos que coincidam com o idioma do seu sistema."
"[S]"	"[S]"
"[S]: Convert and save the object"	"[S]: Converter e salvar objeto"
"[System]"	"[Sistema]"
"[T]"	"[D]"
"[T]: AutoCorrect while typing"	"[D]: Autocorreção ao digitar"
"[T]: AutoFormat/AutoCorrect while typing"	"[D]: Autoformatação / Autocorreção ao digitar"
"[User]"	"[Usuário]"
"]"	"]"
"] cannot be established"	"] não pode ser estabelecido"
"] cannot be obtained"	"] não podem ser obtidos"
"] is not responding."	"] não está respondendo."
"{"	"{"
"{[2]}{, [3]}{, [4]}"	"{[2]}{, [3]}{, [4]}"
"{[ProductName] }Setup completed successfully."	"A instalação do {[ProductName] } foi concluída com sucesso."
"{[ProductName] }Setup failed."	"Falha na instalação do {[ProductName] }."
"{{Disk full: }}"	"{{Disco cheio: }}"
"{{Fatal error: }}"	"{{Erro fatal: }}"
"{}"	"{}"
"{\Tahoma8}{50}"	"{\Tahoma8}{50}"
"{\Tahoma8}{80}"	"{\Tahoma8}{80}"
"{&MSSansBold8}&Modify"	"{&MSSansBold8}&Modificar"
"{&MSSansBold8}&Remove"	"{&MSSansBold8}&Remover"
"{&MSSansBold8}&Typical"	"{&MSSansBold8}&Típica"
"{&MSSansBold8}Change Current Destination Folder"	"{&MSSansBold8}Alterar a pasta de destino atual"
"{&MSSansBold8}Cu&stom"	"{&MSSansBold8}&Personalizada"
"{&MSSansBold8}Custom Setup"	"{&MSSansBold8}Instalação personalizada"
"{&MSSansBold8}Custom Setup Tips"	"{&MSSansBold8}Dicas de instalação personalizadas"
"{&MSSansBold8}Destination Folder"	"{&MSSansBold8}Pasta de destino"
"{&MSSansBold8}Disk Space Requirements"	"{&MSSansBold8}Requisitos de espaço em disco"
"{&MSSansBold8}File Type"	"{&MSSansBold8}Tipo de arquivo"
"{&MSSansBold8}Files in Use"	"{&MSSansBold8}Arquivos em uso"
"{&MSSansBold8}Installing [ProductName]"	"{&MSSansBold8}Instalando o [ProductName]"
"{&MSSansBold8}License Agreement"	"{&MSSansBold8}Contrato de licença"
"{&MSSansBold8}Network Location"	"{&MSSansBold8}Localização de rede"
"{&MSSansBold8}Out of Disk Space"	"{&MSSansBold8}Espaço em disco insuficiente"
"{&MSSansBold8}Program Maintenance"	"{&MSSansBold8}Manutenção do programa"
"{&MSSansBold8}Re&pair"	"{&MSSansBold8}Re&parar"
"{&MSSansBold8}Ready to Install the Program"	"{&MSSansBold8}Pronto para instalar o programa"
"{&MSSansBold8}Ready to Modify the Program"	"{&MSSansBold8}Pronto para modificar o programa"
"{&MSSansBold8}Ready to Repair the Program"	"{&MSSansBold8}Pronto para reparar o programa"
"{&MSSansBold8}Remove the Program"	"{&MSSansBold8}Remover o programa"
"{&MSSansBold8}Setup Type"	"{&MSSansBold8}Tipo de instalação"
"{&MSSansBold8}Uninstalling [ProductName]"	"{&MSSansBold8}Desinstalando o [ProductName]"
"{&MSSansBold8}User Information"	"{&MSSansBold8}Informações do usuário"
"{&TahomaBold10}Installation Wizard Completed"	"{&TahomaBold10}O assistente de instalação foi concluído"
"{&TahomaBold10}Resuming the Installation Wizard for [ProductName]"	"{&TahomaBold10}Reiniciando o assistente de instalação do [ProductName]"
"{&TahomaBold10}Welcome to the Installation Wizard for [ProductName]"	"{&TahomaBold10}Bem-vindo ao Assistente de Instalação do [ProductName]"
"{&TahomaBold10}Welcome to the Patch for [ProductName]"	"{&TahomaBold10}Bem-vindo ao atualizador do [ProductName]"
"{120}{70}{70}{70}{70}"	"{120}{70}{70}{70}{70}"
"{None}"	"{Nenhum}"
"}"	"}"
"@0.00 $;@(0.00 $)"	"@0,00 $;@(0,00 $)"
"** Division by zero **"	"** Divisão por zero **"
"** Error **"	"** Erro **"
"** Expression is faulty **"	"** Erro na expressão **"
"** Overflow **"	"** Overflow na fórmula **"
"** Square function overflow **"	"** Função quadrática com overflow **"
"** Syntax Error **"	"** Erro de sintaxe **"
"** Variable not found **"	"** Variável não encontrada **"
"** Wrong time format **"	"** Formato de hora incorreto **"
"** Wrong use of brackets **"	"** Uso incorreto de parênteses **"
"/"	"/"
"/ %n"	"/ %n"
"\"	"\"
"&Abort"	"An&ular"
"&Anyone who uses this computer (all users)"	"&Qualquer usuário deste computador (todos os usuários)"
"&Cancel"	"&Cancelar"
"&Change..."	"&Alterar..."
"&Exit"	"&Sair"
"&Finish"	"C&oncluir"
"&Folder name:"	"&Nome da pasta:"
"&Help"	"Aj&uda"
"&Ignore"	"&Ignorar"
"&Install"	"&Instalar"
"&Look in:"	"&Examinar:"
"&Microsoft Word Documents"	"Documentos do &Microsoft Word"
"&Network location:"	"&Local de rede:"
"&New"	"&Novo"
"&Next >"	"&Próximo >"
"&No"	"&Não"
"&OK"	"&OK"
"&Organization:"	"&Organização:"
"&Remove"	"&Remover"
"&Retry"	"&Repetir"
"&Space"	"E&spaço"
"&Update >"	"&Atualizar >"
"&User Name:"	"&Nome do usuário:"
"&Yes"	"&Sim"
"#"	"#"
"# Footer"	"# Rodapé"
"# Header"	"# Cabeçalho"
"# records imported..."	"# registros importados..."
"# records will be deleted."	"# registros serão excluídos."
"#1 and #2 must be different."	"#1 e #2 devem ser diferentes."
"#1 deleted"	"#1 excluída"
"#1 inserted"	"#1 inserida"
"#1 must be set."	"É necessário definir #1."
"#10 Envelope"	"Envelope #10"
"#11 Envelope"	"Envelope #11"
"#12 Envelope"	"Envelope #12"
"#1deleted"	"#1 excluída"
"#6 3/4 (Personal) Envelope"	"Envelope #6 3/4 (Pessoal)"
"#6¾ Envelope"	"Envelope #6¾"
"#7¾ (Monarch) Envelope"	"Envelope #7¾ (Monarch)"
"#8 (Monarch) Envelope"	"Envelope #8 (Monarch)"
"#9 Envelope"	"Envelope #9"
"#ADDIN?"	"#ADDIN?"
"#All"	"#Tudo"
"#Data"	"#Dados"
"#DIV/0!"	"#DIV/0!"
"#Headers"	"#Cabeçalhos"
"#MACRO?"	"#MACRO?"
"#N/A"	"#N/DISP"
"#NAME!"	"#NOME!"
"#NAME?"	"#NAME?"
"#NAME?"	"#NOME?"
"#NULL!"	"#NULO!"
"#NUM!"	"#NÚM!"
"#object# label"	"Rótulo de #object#"
"#REF!"	"#REF!"
"#This Row"	"#Esta linha"
"#Totals"	"#Totais"
"#VALUE!"	"#VALOR!"
"% difference from"	"% diferença de"
"% of"	"% de "
"% of column"	"% da coluna"
"% of row"	"% da linha"
"% of total"	"% do total"
"%1 and %2 more"	"%1 e %2 mais"
"%1 characters at beginning of line"	"%1 caracteres no início da linha"
"%1 characters at end of line"	"%1 caracteres no fim da linha"
"%1 found"	"%1 encontrado(s)"
"%1 hyphens"	"%1 hifens"
"%1 Lines"	"%1 Linhas"
"%1 MB"	"%1 MB"
"%1 of %2 e-mails sent"	"%1 de %2 e-mails enviado(s)"
"%1 Options"	"Opções do %1"
"%1 page(s)"	"%1 página(s)"
"%1 R  x %2 C"	"%1 L x %2 C"
"%1 selected"	"%1 selecionado"
"%1 words, %2 characters"	"%1 palavras, %2 caracteres"
"%1 words, %2 characters selected"	"%1 palavras, %2 caracteres selecionados"
"%2 glue points from %1"	"%2 pontos de colagem de %1"
"%2 points from %1"	"%2 pontos de %1"
"%d documents"	"%d documentos"
"%FILENAME has been downloaded to %DOWNLOADPATH."	"O download do arquivo %FILENAME foi colocado na pasta %DOWNLOADPATH."
"%FILENAME' is a folder."	"%FILENAME' é uma pasta."
"%MACROLANG Library"	"Bibliotecas de %MACROLANG"
"%MACROLANG Macros"	"Macros %MACROLANG"
"%NUMBER pages"	"%NUMBER páginas"
"%NUMBER slides"	"%NUMBER slides "
"%OBJECTNAME for all Data Series"	"%OBJECTNAME para todas as séries de dados"
"%OBJECTNAME for Data Series '%SERIESNAME'"	"%OBJECTNAME para a série de dados '%SERIESNAME'"
"%OBJECTNAME selected"	"%OBJECTNAME selecionado"
"%PERCENT%"	"%PERCENT%"
"%PRODNAME documents"	"Documentos do %PRODNAME"
"%PRODUCTNAME"	"%PRODUCTNAME"
"%PRODUCTNAME - Security Warning"	"%PRODUCTNAME - Aviso de segurança"
"%PRODUCTNAME %MODULENAME Context Menus"	"Menus de contexto do %PRODUCTNAME %MODULENAME"
"%PRODUCTNAME %MODULENAME Menus"	"Menus do %PRODUCTNAME %MODULENAME"
"%PRODUCTNAME %MODULENAME Toolbars"	"Barras de ferramentas do %PRODUCTNAME %MODULENAME"
"%PRODUCTNAME %NEXTVERSION is available.  The installed version is %PRODUCTNAME %PRODUCTVERSION.  Note: Before downloading an update, please ensure that you have sufficient access rights to install it. A password, usually the administrator's or root password, may be required."	"O %PRODUCTNAME %NEXTVERSION está disponível.  A versão instalada é o %PRODUCTNAME %PRODUCTVERSION.  Nota: antes de baixar a atualização, certifique-se que tem permissão para a instalar. Pode ser necessária a senha de administrador ou ""root""."
"%PRODUCTNAME %PRODUCTVERSION"	"%PRODUCTNAME %PRODUCTVERSION"
"%PRODUCTNAME %PRODUCTVERSION Chart"	"Gráfico do %PRODUCTNAME %PRODUCTVERSION"
"%PRODUCTNAME %PRODUCTVERSION Drawing"	"Desenho do %PRODUCTNAME %PRODUCTVERSION"
"%PRODUCTNAME %PRODUCTVERSION Formula"	"%PRODUCTNAME %PRODUCTVERSION Formula"
"%PRODUCTNAME %PRODUCTVERSION Formula"	"Fórmula do %PRODUCTNAME %PRODUCTVERSION"
"%PRODUCTNAME %PRODUCTVERSION HTML Document"	"Documento HTML do %PRODUCTNAME %PRODUCTVERSION"
"%PRODUCTNAME %PRODUCTVERSION is up to date."	"O %PRODUCTNAME %PRODUCTVERSION está atualizado."
"%PRODUCTNAME %PRODUCTVERSION Master Document"	"Documento Mestre do %PRODUCTNAME %PRODUCTVERSION"
"%PRODUCTNAME %PRODUCTVERSION Presentation"	"Apresentação do %PRODUCTNAME %PRODUCTVERSION"
"%PRODUCTNAME %PRODUCTVERSION Quickstarter"	"Iniciador rápido do %PRODUCTNAME %PRODUCTVERSION"
"%PRODUCTNAME %PRODUCTVERSION Spreadsheet"	"Planilha do %PRODUCTNAME %PRODUCTVERSION"
"%PRODUCTNAME %PRODUCTVERSION Text"	"Texto do %PRODUCTNAME %PRODUCTVERSION"
"%PRODUCTNAME %PRODUCTVERSION Text Document"	"Documento de texto do %PRODUCTNAME %PRODUCTVERSION"
"%PRODUCTNAME %PRODUCTVERSION will start to recover your documents. Depending on the size of the documents this process can take some time."	"O %PRODUCTNAME %PRODUCTVERSION iniciará a recuperação de seus documentos. Dependendo do tamanho dos documentos, esse processo pode levar algum tempo."
"%PRODUCTNAME %s"	"%PRODUCTNAME %s"
"%PRODUCTNAME 4.0 HTML"	"HTML do %PRODUCTNAME 4.0"
"%PRODUCTNAME 5.0 HTML"	"HTML do %PRODUCTNAME 5.0"
"%PRODUCTNAME Address List (.csv)"	"Lista de endereços do %PRODUCTNAME (.csv)"
"%PRODUCTNAME advertisement materials."	"Materiais de propaganda do %PRODUCTNAME."
"%PRODUCTNAME Base"	"%PRODUCTNAME Base"
"%PRODUCTNAME Base (*.odb)"	"%PRODUCTNAME Base (*.odb)"
"%PRODUCTNAME Base Help"	"Ajuda do %PRODUCTNAME Base"
"%PRODUCTNAME Basic"	"%PRODUCTNAME Basic"
"%PRODUCTNAME Basic libraries"	"Bibliotecas do %PRODUCTNAME Basic"
"%PRODUCTNAME Basic Library"	"Biblioteca do %PRODUCTNAME Basic"
"%PRODUCTNAME Basic Macro Organizer"	"Organizador de macros do %PRODUCTNAME Basic"
"%PRODUCTNAME Basic Macro Organizer..."	"Organizador de macros do %PRODUCTNAME Basic..."
"%PRODUCTNAME Basic Macros"	"Macros do %PRODUCTNAME Basic"
"%PRODUCTNAME Basic..."	"%PRODUCTNAME Basic..."
"%PRODUCTNAME Calc"	"%PRODUCTNAME Calc"
"%PRODUCTNAME Calc (*.ods;*.sxc)"	"%PRODUCTNAME Calc (*.ods;*sxc)"
"%PRODUCTNAME Calc found an error in the formula entered. Do you want to accept the correction proposed below?  "	"O %PRODUCTNAME Calc encontrou um erro na fórmula inserida. Deseja aceitar a correção proposta abaixo?  "
"%PRODUCTNAME Calc Help"	"Ajuda do %PRODUCTNAME Calc"
"%PRODUCTNAME cannot be started due to an error in accessing the %PRODUCTNAME configuration data.  Please contact your system administrator."	"O %PRODUCTNAME não pode ser iniciado devido a um erro ao acessar os dados de configuração do %PRODUCTNAME.  Entre em contato com o administrador do sistema."
"%PRODUCTNAME cannot keep files from being overwritten when this transmission protocol is used. Do you want to continue anyway?"	"O %PRODUCTNAME não pode evitar que os arquivos sejam sobrescritos quando este protocolo de transmissão for utilizado. Deseja continuar mesmo assim?"
"%PRODUCTNAME Chart"	"%PRODUCTNAME Chart"
"%PRODUCTNAME Chart"	"Gráfico %PRODUCTNAME"
"%PRODUCTNAME CoinMP Linear Solver"	"Solver linear CoinMP do %PRODUCTNAME"
"%PRODUCTNAME Configuration File"	"Arquivo de configuração do %PRODUCTNAME"
"%PRODUCTNAME could not connect to the outgoing mail server. Check your system's settings and the settings in %PRODUCTNAME. Check the server name, the port and the secure connections settings"	"Não foi possível ao %PRODUCTNAME conectar-se ao servidor de envio de e-mails. Verifique as configurações do seu sistema e as configurações do %PRODUCTNAME. Verifique o nome do servidor, a porta e as configurações de conexões seguras."
"%PRODUCTNAME could not find a web browser on your system. Please check your Desktop Preferences or install a web browser (for example, Firefox) in the default  location requested during the browser installation."	"O %PRODUCTNAME não conseguiu localizar o navegador internet do sistema. Verifique as preferências do ambiente de trabalho ou instale um navegador (por exemplo, Firefox) na localização indicada pelo instalador."
"%PRODUCTNAME could not save important internal information due to insufficient free disk space at the following location: %PATH  You will not be able to continue working with %PRODUCTNAME without allocating more free disk space at that location.  Press the 'Retry' button after you have allocated more free disk space to retry saving the data.  "	"Não foi possível salvar informações internas importantes do %PRODUCTNAME devido à falta de espaço em disco no seguinte local: %PATH  Você não poderá continuar trabalhando com o %PRODUCTNAME sem alocar mais espaço em disco nesse local.  Pressione o botão 'Repetir' depois de obter mais espaço em disco para tentar salvar os dados novamente.  "
"%PRODUCTNAME Credits..."	"Créditos do %PRODUCTNAME..."
"%PRODUCTNAME Dialogs"	"Caixas de diálogo do %PRODUCTNAME"
"%PRODUCTNAME Document"	"Documento do %PRODUCTNAME"
"%PRODUCTNAME document"	"Documento do %PRODUCTNAME"
"%PRODUCTNAME Document Recovery"	"Recuperação de documentos do %PRODUCTNAME"
"%PRODUCTNAME documentations."	"Documentação do %PRODUCTNAME."
"%PRODUCTNAME Documents"	"Documentos do %PRODUCTNAME"
"%PRODUCTNAME Draw"	"%PRODUCTNAME Draw"
"%PRODUCTNAME Draw has searched to the beginning of the document. Do you want to continue at the end?"	"O %PRODUCTNAME Draw pesquisou até o início do documento. Deseja continuar pelo fim?"
"%PRODUCTNAME Draw has searched to the end of the document. Do you want to continue at the beginning?"	"O %PRODUCTNAME Draw pesquisou até o fim do documento. Deseja continuar pelo início?"
"%PRODUCTNAME Draw Help"	"Ajuda do %PRODUCTNAME Draw"
"%PRODUCTNAME Draw reached the beginning of the document. Do you want to continue at the end?"	"O %PRODUCTNAME Draw alcançou o início do documento. Deseja continuar pelo final?"
"%PRODUCTNAME Draw reached the end of the document. Do you want to continue at the beginning?"	"O %PRODUCTNAME Draw alcançou o fim do documento. Deseja continuar pelo início?"
"%PRODUCTNAME Draw/%PRODUCTNAME Impress"	"%PRODUCTNAME Draw/%PRODUCTNAME Impress"
"%PRODUCTNAME Drawing"	"Desenho %PRODUCTNAME"
"%PRODUCTNAME Error"	"Erro do %PRODUCTNAME"
"%PRODUCTNAME Event"	"Evento %PRODUCTNAME"
"%PRODUCTNAME Events View"	"Visão de eventos %PRODUCTNAME"
"%PRODUCTNAME Extension"	"Extensão %PRODUCTNAME"
"%PRODUCTNAME Extension"	"Extensão do %PRODUCTNAME"
"%PRODUCTNAME Formula"	"Fórmula %PRODUCTNAME"
"%PRODUCTNAME Frame Document"	"Documento de Quadro do %PRODUCTNAME"
